                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2309,                0.67791,                0.99357,                0.92076,                0.54227,                0.63145,                0.38191,                 1.2757,                0.67467,                 1.0329,              0.0014057,              0.0014057,              0.0014057
                     36,                 1.2479,                0.68151,                  1.009,                0.57345,                0.64129,                0.62507,                0.39598,                 1.2853,                 0.6751,                 1.0307,              0.0014049,              0.0014049,              0.0014049
                     37,                  1.244,                0.66775,                0.99724,                0.58755,                0.65097,                0.65806,                0.39693,                 1.2816,                0.67874,                  1.033,              0.0014042,              0.0014042,              0.0014042
                     38,                  1.196,                0.65283,                0.98711,                0.60163,                0.66977,                0.63663,                0.42041,                 1.2418,                 0.6438,                 1.0149,              0.0014035,              0.0014035,              0.0014035
                     39,                 1.2385,                0.66546,                 1.0015,                0.57653,                0.74108,                0.66219,                0.43353,                 1.2536,                0.66127,                 1.0293,              0.0014028,              0.0014028,              0.0014028
                     40,                 1.1549,                0.61926,                0.98649,                0.68758,                0.72608,                0.68823,                0.44486,                 1.2536,                0.65491,                  1.025,              0.0014021,              0.0014021,              0.0014021
                     41,                   1.19,                0.65125,                0.99087,                0.67647,                0.72618,                  0.749,                0.47433,                  1.262,                0.65611,                 1.0199,              0.0014014,              0.0014014,              0.0014014
                     42,                 1.1703,                0.62898,                0.98726,                0.74893,                 0.6434,                 0.6371,                0.40077,                 1.3108,                0.67448,                   1.04,              0.0014007,              0.0014007,              0.0014007
                     43,                 1.2208,                0.65093,                0.99279,                0.55133,                0.58677,                0.55865,                 0.3497,                 1.2952,                0.74872,                 1.0519,                 0.0014,                 0.0014,                 0.0014
                     44,                 1.1928,                0.63835,                0.99811,                0.61993,                0.65854,                0.68971,                0.43036,                 1.2626,                0.63559,                 1.0298,              0.0013993,              0.0013993,              0.0013993
                     45,                 1.2269,                0.66516,                0.98839,                0.67683,                0.76681,                0.68291,                0.43099,                  1.284,                0.64304,                 1.0352,              0.0013986,              0.0013986,              0.0013986
                     46,                 1.1474,                0.62511,                0.97115,                0.58273,                0.74085,                0.63468,                0.39557,                 1.2817,                 0.6744,                 1.0205,              0.0013979,              0.0013979,              0.0013979
                     47,                 1.2001,                0.65003,                 0.9822,                 0.6059,                0.65015,                0.61861,                0.38616,                 1.2677,                 0.6818,                 1.0252,              0.0013972,              0.0013972,              0.0013972
                     48,                 1.1954,                0.64581,                0.97994,                0.84765,                0.51854,                0.52376,                0.33113,                  1.303,                0.78039,                 1.0448,              0.0013965,              0.0013965,              0.0013965
                     49,                   1.18,                0.63754,                0.98688,                0.69854,                0.61857,                 0.6738,                0.42617,                  1.267,                0.66106,                 1.0348,              0.0013958,              0.0013958,              0.0013958
                     50,                 1.1494,                0.61717,                0.98029,                 0.6165,                0.78798,                0.68969,                0.44296,                 1.2412,                0.61185,                 1.0177,               0.001395,               0.001395,               0.001395
                     51,                 1.1713,                0.61788,                0.98553,                 0.7781,                0.70294,                 0.7378,                0.45357,                 1.2648,                 0.6369,                 1.0326,              0.0013943,              0.0013943,              0.0013943
                     52,                 1.1866,                0.62018,                0.98737,                0.55852,                0.54797,                0.59365,                0.38091,                 1.2747,                0.67734,                 1.0354,              0.0013936,              0.0013936,              0.0013936
                     53,                   1.14,                0.60691,                 0.9732,                0.57175,                0.68414,                0.64479,                0.40322,                 1.2472,                0.63775,                 1.0258,              0.0013929,              0.0013929,              0.0013929
                     54,                 1.1825,                0.62066,                0.97883,                0.63845,                0.69557,                0.69686,                0.46001,                 1.2557,                0.65363,                 1.0319,              0.0013922,              0.0013922,              0.0013922
                     55,                 1.1556,                0.61221,                0.98246,                0.74287,                 0.7253,                0.69947,                0.44206,                 1.2527,                0.65102,                 1.0245,              0.0013915,              0.0013915,              0.0013915
                     56,                 1.1486,                0.61266,                0.96919,                0.74761,                0.72341,                0.74259,                0.47617,                 1.2795,                0.64881,                 1.0286,              0.0013908,              0.0013908,              0.0013908
                     57,                  1.168,                0.62102,                0.98596,                0.58698,                0.70648,                0.75761,                0.47972,                 1.2977,                0.63612,                 1.0308,              0.0013901,              0.0013901,              0.0013901
                     58,                  1.157,                0.61444,                0.96647,                0.70862,                0.60776,                0.66612,                0.43086,                 1.3088,                 0.6455,                   1.04,              0.0013894,              0.0013894,              0.0013894
                     59,                 1.1709,                0.61148,                0.98076,                0.71484,                0.58438,                0.65985,                0.42275,                 1.2676,                0.63935,                 1.0361,              0.0013887,              0.0013887,              0.0013887
                     60,                 1.1256,                0.60167,                0.96587,                0.77977,                0.69725,                0.68952,                0.46588,                  1.252,                0.62995,                 1.0174,               0.001388,               0.001388,               0.001388
                     61,                 1.1533,                0.61078,                0.97873,                0.83445,                0.71011,                0.76037,                0.50935,                 1.2674,                 0.6184,                 1.0258,              0.0013873,              0.0013873,              0.0013873
                     62,                 1.1449,                0.59982,                0.96978,                0.85916,                0.74462,                0.81009,                0.52807,                 1.2612,                0.61269,                 1.0277,              0.0013866,              0.0013866,              0.0013866
                     63,                 1.2001,                0.60692,                0.98834,                 0.8132,                0.78693,                0.78372,                0.49256,                 1.2487,                0.61046,                 1.0275,              0.0013859,              0.0013859,              0.0013859
