                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9289,                 2.9948,                 1.2767,                0.01529,                0.36483,                0.11134,                0.05376,                 1.9813,                 2.7435,                 1.4012,                 0.0874,                 0.0014,                 0.0014
                      2,                 1.6749,                 1.3086,                 1.1538,                  4e-05,                0.00067,                  2e-05,                      0,                 3.5687,                    inf,                 5.2611,                0.07389,              0.0028904,              0.0028904
                      3,                 1.7318,                 1.2502,                   1.19,                0.00144,                0.00971,                0.00097,                0.00026,                 3.5113,                    inf,                 16.557,               0.060371,               0.004371,               0.004371
                      4,                 1.6002,                 1.0986,                 1.1328,                0.00358,                0.05867,                0.00198,                 0.0006,                 3.5247,                    inf,                 6.2236,               0.046842,              0.0058416,              0.0058416
                      5,                 1.5718,                  1.031,                 1.1163,                0.00241,                 0.0178,                  0.001,                0.00033,                 3.1873,                    inf,                 2.2103,               0.033302,              0.0073023,              0.0073023
                      6,                 1.5297,                0.97361,                 1.1162,                0.12815,                0.14143,                0.09333,                0.03832,                 2.2573,                 9.1435,                 1.7957,               0.019753,              0.0087532,              0.0087532
                      7,                 1.5894,                0.97182,                 1.1306,                0.10486,                0.09123,                0.06525,                0.02484,                 2.7366,                 3.1154,                 2.2122,               0.009802,               0.009802,               0.009802
                      8,                 1.5369,                0.94638,                 1.1133,                0.21153,                0.23337,                 0.1652,                0.07584,                  1.953,                 3.0811,                  1.562,               0.009802,               0.009802,               0.009802
                      9,                 1.4796,                0.90041,                 1.1008,                0.11099,                0.21513,                0.05967,                0.02794,                 2.0275,                 11.088,                 1.5101,               0.009769,               0.009769,               0.009769
                     10,                 1.4751,                0.86819,                  1.097,                0.58183,                0.25519,                0.17925,                0.09084,                 1.7206,                 3.0763,                  1.343,               0.009736,               0.009736,               0.009736
                     11,                 1.4619,                0.85392,                   1.09,                0.59503,                0.36087,                0.24826,                0.10941,                  1.996,                 4.8536,                 1.5198,               0.009703,               0.009703,               0.009703
                     12,                  1.463,                0.83225,                 1.0938,                0.70002,                0.37094,                0.43832,                0.23811,                 1.5413,                 1.8412,                 1.1931,                0.00967,                0.00967,                0.00967
                     13,                 1.4136,                0.81095,                 1.0769,                0.71569,                0.33076,                0.35764,                0.20011,                 1.5465,                 1.6123,                 1.2193,               0.009637,               0.009637,               0.009637
                     14,                 1.3919,                 0.7942,                 1.0654,                0.78259,                0.36479,                0.38398,                0.16568,                 1.9557,                 2.1926,                 1.4351,               0.009604,               0.009604,               0.009604
                     15,                 1.3727,                0.77851,                 1.0651,                0.70895,                 0.4086,                0.39729,                0.20917,                  1.611,                 1.8168,                  1.215,               0.009571,               0.009571,               0.009571
                     16,                 1.3931,                0.77622,                 1.0669,                0.82742,                0.38825,                0.44683,                0.24745,                 1.5234,                 1.7719,                 1.1689,               0.009538,               0.009538,               0.009538
                     17,                 1.3938,                0.76392,                 1.0548,                0.77224,                0.41372,                0.45114,                0.25458,                 1.4784,                 2.7477,                  1.146,               0.009505,               0.009505,               0.009505
