                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2221,                0.65279,                0.99318,                0.88308,                0.53624,                0.59606,                0.38007,                 1.3099,                0.67448,                 1.0475,             0.00098352,             0.00098352,             0.00098352
                     36,                 1.1827,                0.63773,                0.97724,                0.54526,                0.63229,                0.61852,                0.39162,                 1.2954,                0.68224,                 1.0355,             0.00098302,             0.00098302,             0.00098302
                     37,                 1.1985,                 0.6356,                0.98166,                0.55999,                0.52229,                0.58484,                0.38489,                 1.2749,                0.67787,                 1.0332,             0.00098252,             0.00098252,             0.00098252
                     38,                 1.1912,                0.63729,                 0.9888,                0.53704,                0.69953,                0.63049,                0.40437,                 1.3156,                0.77577,                 1.0505,             0.00098202,             0.00098202,             0.00098202
                     39,                 1.1746,                0.62772,                0.97677,                0.48085,                0.61492,                0.57855,                0.37155,                 1.3128,                0.79739,                 1.0517,             0.00098152,             0.00098152,             0.00098152
                     40,                 1.1951,                 0.6448,                0.97525,                0.56061,                0.63935,                0.59112,                0.38244,                 1.3058,                 0.7185,                 1.0515,             0.00098102,             0.00098102,             0.00098102
                     41,                 1.2017,                0.63341,                0.99605,                0.58928,                0.56396,                0.57216,                0.36324,                    1.3,                0.71432,                 1.0455,             0.00098052,             0.00098052,             0.00098052
                     42,                 1.1573,                0.62883,                0.96678,                0.56719,                0.54103,                0.57581,                0.36647,                 1.3148,                0.68974,                 1.0564,             0.00098002,             0.00098002,             0.00098002
                     43,                 1.1585,                0.61808,                0.97672,                0.65595,                0.66013,                0.66246,                0.43577,                 1.2854,                0.65149,                 1.0527,             0.00097952,             0.00097952,             0.00097952
                     44,                 1.1605,                0.62832,                0.98203,                0.65256,                0.61367,                0.61937,                0.40809,                 1.3375,                0.68512,                 1.0614,             0.00097902,             0.00097902,             0.00097902
                     45,                 1.1457,                0.60891,                0.97374,                0.67419,                0.52751,                0.59428,                0.40184,                 1.2959,                0.71892,                 1.0478,             0.00097852,             0.00097852,             0.00097852
                     46,                 1.1659,                0.60871,                 0.9815,                0.75968,                0.66811,                0.65614,                0.43014,                 1.2892,                0.64295,                 1.0432,             0.00097802,             0.00097802,             0.00097802
                     47,                 1.1876,                0.61263,                 0.9816,                 0.9123,                 0.5499,                0.66708,                0.43429,                 1.2826,                0.66948,                 1.0368,             0.00097752,             0.00097752,             0.00097752
                     48,                 1.1818,                0.61424,                0.97652,                0.84307,                0.47327,                0.55968,                 0.3711,                 1.3246,                0.77184,                 1.0477,             0.00097702,             0.00097702,             0.00097702
