                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2895,                0.75423,                 1.0929,                0.77739,                0.34073,                 0.3927,                0.21541,                 1.5429,                 1.2945,                 1.2844,              0.0099456,              0.0099456,              0.0099456
                     36,                 1.3304,                0.76588,                 1.1145,                0.79612,                0.36918,                0.41127,                0.25122,                 1.4322,                 1.1695,                 1.2363,              0.0099439,              0.0099439,              0.0099439
                     37,                 1.3559,                0.79604,                 1.1015,                0.84472,                0.47247,                0.50339,                0.28663,                 1.4314,                0.88559,                 1.2029,              0.0099422,              0.0099422,              0.0099422
                     38,                 1.3571,                0.78118,                 1.0971,                0.85296,                0.45351,                0.51041,                0.29816,                 1.4342,                 1.0309,                 1.1893,              0.0099406,              0.0099406,              0.0099406
                     39,                 1.3131,                   0.75,                 1.0824,                0.83789,                0.47745,                0.50843,                0.30756,                 1.3661,                0.82733,                 1.1648,               0.009939,               0.009939,               0.009939
                     40,                 1.3298,                0.74252,                 1.1004,                0.74956,                0.38301,                0.41066,                0.25554,                 1.4005,                 1.0636,                 1.2107,              0.0099373,              0.0099373,              0.0099373
                     41,                 1.3159,                0.76379,                  1.088,                0.80416,                0.45695,                 0.4978,                0.29471,                 1.4382,                0.86752,                 1.2199,              0.0099357,              0.0099357,              0.0099357
                     42,                 1.3146,                 0.7536,                    1.1,                 0.8195,                0.41834,                  0.483,                0.28279,                 1.4365,                  1.028,                  1.224,               0.009934,               0.009934,               0.009934
                     43,                 1.2995,                0.72414,                 1.0875,                0.72405,                0.38216,                0.35133,                0.18995,                 1.5223,                 1.2906,                  1.272,              0.0099323,              0.0099323,              0.0099323
                     44,                 1.2794,                0.70784,                 1.0703,                 0.8456,                 0.4572,                0.49864,                 0.2948,                 1.3636,                0.91627,                  1.163,              0.0099307,              0.0099307,              0.0099307
                     45,                 1.3194,                0.72327,                 1.1016,                0.84136,                0.47285,                 0.5474,                0.32529,                   1.38,                0.85432,                 1.1748,              0.0099291,              0.0099291,              0.0099291
                     46,                 1.2929,                 0.7347,                 1.0662,                0.82841,                0.42978,                 0.5055,                0.30687,                 1.4002,                 1.0052,                  1.178,              0.0099274,              0.0099274,              0.0099274
                     47,                 1.2674,                0.70877,                 1.0786,                0.89522,                0.42376,                0.55565,                0.33758,                 1.3883,                0.82047,                 1.1829,              0.0099258,              0.0099258,              0.0099258
                     48,                 1.2962,                0.74684,                 1.0807,                0.87896,                0.50753,                0.55361,                0.34554,                 1.3409,                0.77217,                 1.1447,              0.0099241,              0.0099241,              0.0099241
                     49,                 1.2816,                0.73779,                 1.0649,                0.86845,                0.49227,                0.55307,                 0.3323,                 1.3661,                0.76847,                 1.1699,              0.0099224,              0.0099224,              0.0099224
                     50,                 1.3394,                 0.7283,                 1.0933,                0.45545,                0.60441,                0.53153,                0.33885,                 1.3827,                0.84224,                 1.1986,              0.0099208,              0.0099208,              0.0099208
                     51,                  1.313,                0.83919,                  1.093,                0.61281,                0.51095,                0.53694,                0.34388,                  1.354,                0.80077,                 1.1729,              0.0099191,              0.0099191,              0.0099191
                     52,                 1.2841,                0.78396,                 1.0881,                0.74428,                0.38454,                0.43492,                0.25771,                 1.4411,                 1.2372,                 1.2618,              0.0099175,              0.0099175,              0.0099175
                     53,                 1.2918,                0.73566,                 1.0773,                0.83764,                0.44898,                0.50599,                0.28773,                 1.4343,                0.91611,                 1.2144,              0.0099159,              0.0099159,              0.0099159
                     54,                  1.353,                0.79832,                 1.0919,                0.87597,                 0.4449,                0.51734,                0.32895,                 1.3617,                0.98723,                 1.1743,              0.0099142,              0.0099142,              0.0099142
                     55,                 1.2419,                0.69882,                 1.0835,                0.85833,                0.45188,                0.50614,                0.31185,                 1.3509,                0.79725,                 1.1576,              0.0099126,              0.0099126,              0.0099126
                     56,                  1.255,                0.71354,                 1.0735,                0.87933,                 0.4908,                0.57205,                0.34684,                 1.3538,                0.78414,                 1.1758,              0.0099109,              0.0099109,              0.0099109
                     57,                 1.3095,                0.70506,                 1.0764,                0.86269,                0.39726,                0.49336,                0.31359,                 1.3636,                 1.1802,                 1.1758,              0.0099093,              0.0099093,              0.0099093
                     58,                  1.333,                0.74411,                  1.106,                0.74422,                0.32607,                0.37928,                0.22299,                 1.5662,                 1.5822,                 1.2632,              0.0099076,              0.0099076,              0.0099076
                     59,                 1.3245,                0.72469,                 1.1012,                0.79733,                0.42778,                0.44635,                0.26059,                 1.4693,                 1.0987,                 1.2047,               0.009906,               0.009906,               0.009906
                     60,                 1.2951,                0.71689,                 1.0643,                0.87583,                0.49893,                0.54294,                0.32758,                  1.353,                0.80356,                 1.1506,              0.0099043,              0.0099043,              0.0099043
                     61,                 1.2806,                0.69577,                 1.0629,                0.90014,                0.53912,                0.62542,                0.38786,                 1.3244,                0.69908,                 1.1409,              0.0099026,              0.0099026,              0.0099026
                     62,                   1.28,                0.73292,                 1.0804,                0.90372,                0.51102,                0.69644,                0.44242,                 1.3017,                0.70705,                 1.1276,               0.009901,               0.009901,               0.009901
                     63,                 1.2486,                0.68478,                  1.071,                  0.858,                0.47515,                0.53076,                0.32959,                 1.3384,                0.89264,                 1.1493,              0.0098993,              0.0098993,              0.0098993
                     64,                 1.2628,                0.68357,                 1.0706,                0.81158,                0.45917,                0.48231,                0.29205,                 1.3725,                0.89431,                 1.1516,              0.0098977,              0.0098977,              0.0098977
                     65,                  1.313,                0.73869,                 1.0889,                0.69713,                0.31761,                0.33417,                0.19457,                 1.4869,                 1.2306,                 1.2083,              0.0098961,              0.0098961,              0.0098961
                     66,                 1.3089,                0.71329,                 1.0868,                0.48743,                0.49572,                0.55299,                0.33427,                 1.3362,                 0.8454,                 1.1523,              0.0098944,              0.0098944,              0.0098944
                     67,                 1.2395,                0.67073,                 1.0712,                0.89863,                 0.5161,                0.60461,                0.35461,                 1.3085,                0.71059,                 1.1416,              0.0098928,              0.0098928,              0.0098928
                     68,                 1.2413,                0.66353,                 1.0642,                0.85024,                0.35969,                0.44561,                0.27628,                 1.4153,                0.99857,                 1.2091,              0.0098911,              0.0098911,              0.0098911
                     69,                 1.2562,                 0.7093,                 1.0912,                0.87872,                  0.404,                0.48338,                0.29851,                 1.4376,                0.89829,                 1.2192,              0.0098894,              0.0098894,              0.0098894
                     70,                 1.2896,                0.68232,                 1.0795,                0.83448,                0.44958,                 0.4759,                0.28535,                 1.4491,                0.83427,                 1.2193,              0.0098878,              0.0098878,              0.0098878
                     71,                 1.2836,                0.68577,                 1.0631,                0.87772,                0.51496,                0.56197,                 0.3436,                  1.361,                0.73617,                  1.165,              0.0098861,              0.0098861,              0.0098861
                     72,                  1.242,                 0.6761,                 1.0528,                0.50577,                0.64389,                0.63223,                 0.3649,                  1.337,                0.70724,                 1.1586,              0.0098845,              0.0098845,              0.0098845
                     73,                 1.2459,                 0.6792,                 1.0561,                0.57047,                0.64288,                0.60983,                0.37804,                 1.3282,                0.70324,                 1.1661,              0.0098829,              0.0098829,              0.0098829
                     74,                 1.3249,                0.68843,                 1.0966,                0.59058,                0.65691,                0.62006,                0.37319,                 1.3585,                0.83495,                 1.1919,              0.0098812,              0.0098812,              0.0098812
                     75,                 1.2347,                0.68927,                 1.0506,                0.85269,                0.47615,                0.55066,                 0.3421,                 1.3525,                0.78976,                 1.1613,              0.0098796,              0.0098796,              0.0098796
                     76,                 1.2584,                0.68827,                 1.0767,                0.86452,                0.50455,                0.55813,                0.34032,                 1.3331,                0.75453,                 1.1402,              0.0098779,              0.0098779,              0.0098779
                     77,                 1.2583,                0.68805,                 1.0926,                0.44576,                0.33758,                0.34111,                0.17628,                 1.6877,                 1.4758,                 1.3859,              0.0098763,              0.0098763,              0.0098763
                     78,                 1.2233,                0.66586,                 1.0578,                0.40191,                 0.6095,                0.59144,                0.35348,                 1.3326,                 0.8259,                 1.1507,              0.0098746,              0.0098746,              0.0098746
                     79,                 1.2375,                0.66373,                 1.0708,                0.81802,                0.46332,                0.50801,                0.29303,                 1.3478,                0.89661,                 1.1584,               0.009873,               0.009873,               0.009873
                     80,                 1.2754,                0.69405,                 1.0724,                0.75376,                0.40858,                0.41643,                0.23714,                  1.456,                 1.2558,                 1.2196,              0.0098713,              0.0098713,              0.0098713
                     81,                 1.2161,                0.68873,                 1.0508,                0.87523,                0.52373,                0.68077,                0.40872,                 1.2932,                0.72343,                 1.1413,              0.0098697,              0.0098697,              0.0098697
                     82,                 1.2895,                0.67956,                 1.0732,                0.62689,                 0.6876,                0.68905,                0.43503,                 1.3436,                0.79768,                 1.1665,               0.009868,               0.009868,               0.009868
                     83,                 1.2339,                0.68877,                 1.0676,                 0.5434,                0.48865,                0.54187,                0.33008,                 1.3362,                0.77819,                 1.1537,              0.0098664,              0.0098664,              0.0098664
                     84,                 1.2248,                0.67534,                 1.0761,                0.86416,                0.49528,                0.59385,                0.35221,                 1.3735,                0.79175,                  1.186,              0.0098647,              0.0098647,              0.0098647
                     85,                 1.2192,                0.66785,                 1.0773,                0.87438,                0.50181,                0.54404,                0.33004,                 1.3338,                0.73949,                 1.1485,               0.009863,               0.009863,               0.009863
                     86,                 1.2547,                0.66272,                 1.0748,                0.89642,                0.45272,                0.48611,                0.30081,                  1.367,                0.79886,                 1.1708,              0.0098614,              0.0098614,              0.0098614
                     87,                 1.1933,                0.66382,                  1.043,                0.89807,                0.46031,                0.51223,                0.31196,                 1.3605,                0.98442,                 1.1614,              0.0098598,              0.0098598,              0.0098598
                     88,                 1.2454,                0.66207,                 1.0724,                0.77683,                0.44196,                0.48226,                0.30154,                 1.3765,                 1.1283,                  1.169,              0.0098581,              0.0098581,              0.0098581
                     89,                 1.2091,                0.66271,                 1.0554,                0.46992,                0.59471,                0.56461,                 0.3538,                 1.3711,                0.82947,                 1.1705,              0.0098565,              0.0098565,              0.0098565
                     90,                 1.3332,                0.69668,                 1.1023,                0.89686,                0.48606,                0.53728,                0.33372,                 1.3224,                0.71326,                 1.1577,              0.0098548,              0.0098548,              0.0098548
                     91,                 1.2441,                0.66977,                 1.0629,                0.87601,                0.49585,                 0.5602,                0.35898,                  1.313,                0.70065,                 1.1388,              0.0098531,              0.0098531,              0.0098531
                     92,                 1.2698,                0.67568,                 1.0572,                0.92179,                0.44163,                0.53891,                0.33533,                 1.2999,                0.74846,                 1.1341,              0.0098515,              0.0098515,              0.0098515
                     93,                  1.215,                0.65264,                 1.0661,                0.57216,                0.50351,                0.55275,                 0.3272,                 1.3598,                0.73425,                 1.1435,              0.0098499,              0.0098499,              0.0098499
                     94,                 1.2245,                 0.6625,                 1.0515,                 0.9212,                0.51659,                0.63014,                0.39515,                 1.2968,                0.67195,                 1.1182,              0.0098482,              0.0098482,              0.0098482
                     95,                 1.2094,                 0.6522,                 1.0513,                0.53649,                0.40479,                0.47009,                0.28303,                 1.3774,                0.97302,                 1.1578,              0.0098466,              0.0098466,              0.0098466
                     96,                 1.2458,                0.66448,                 1.0618,                0.91007,                0.54127,                0.60403,                0.38279,                 1.2819,                 0.6386,                 1.1264,              0.0098449,              0.0098449,              0.0098449
                     97,                 1.2264,                0.65075,                 1.0488,                0.52503,                0.67895,                0.61105,                  0.371,                 1.3156,                0.66344,                 1.1563,              0.0098432,              0.0098432,              0.0098432
                     98,                 1.2491,                0.65681,                 1.0521,                0.53682,                0.61987,                0.62077,                0.38955,                 1.3683,                0.73638,                 1.1623,              0.0098416,              0.0098416,              0.0098416
                     99,                 1.2281,                0.66559,                 1.0398,                 0.5067,                0.52623,                0.51796,                0.32301,                 1.3176,                0.75355,                 1.1702,                0.00984,                0.00984,                0.00984
                    100,                 1.2585,                0.68033,                 1.0803,                0.65335,                  0.502,                0.57101,                0.35615,                 1.2972,                0.74148,                 1.1481,              0.0098383,              0.0098383,              0.0098383
                    101,                 1.2444,                0.66475,                  1.049,                0.44312,                0.61695,                0.50073,                0.30826,                 1.3505,                0.86019,                 1.1591,              0.0098367,              0.0098367,              0.0098367
                    102,                 1.2067,                 0.6499,                 1.0422,                0.74135,                0.22299,                0.26464,                0.14016,                  1.801,                 1.5042,                  1.482,               0.009835,               0.009835,               0.009835
                    103,                 1.2534,                0.65845,                 1.0602,                0.55205,                0.46924,                0.53145,                0.32164,                 1.3158,                 0.7604,                 1.1361,              0.0098333,              0.0098333,              0.0098333
                    104,                 1.2601,                0.66001,                 1.0602,                0.85819,                0.48782,                0.52201,                0.31786,                 1.3509,                0.76647,                 1.1546,              0.0098317,              0.0098317,              0.0098317
                    105,                 1.2122,                 0.6431,                 1.0486,                0.55782,                0.58863,                0.57612,                0.35308,                 1.3357,                0.81174,                 1.1543,                0.00983,                0.00983,                0.00983
                    106,                 1.2388,                0.64572,                 1.0662,                0.48566,                0.72599,                0.61769,                0.38428,                 1.3146,                0.68558,                 1.1425,              0.0098284,              0.0098284,              0.0098284
                    107,                 1.2257,                0.67532,                 1.0703,                0.89179,                0.50773,                0.63283,                 0.3627,                 1.3771,                0.78715,                 1.1761,              0.0098268,              0.0098268,              0.0098268
                    108,                 1.2993,                0.68333,                 1.0868,                0.77595,                0.42989,                0.43674,                0.24319,                 1.4383,                0.94001,                  1.225,              0.0098251,              0.0098251,              0.0098251
                    109,                 1.2511,                0.65495,                 1.0748,                0.90444,                0.53437,                0.58096,                0.35878,                 1.3099,                0.70073,                  1.149,              0.0098234,              0.0098234,              0.0098234
                    110,                 1.2449,                0.65923,                 1.0807,                0.54852,                0.58591,                0.56183,                0.35659,                 1.3606,                 0.8182,                 1.1708,              0.0098218,              0.0098218,              0.0098218
                    111,                 1.2314,                0.64023,                 1.0693,                0.77022,                0.63626,                0.66557,                0.41829,                 1.3056,                0.65271,                 1.1383,              0.0098201,              0.0098201,              0.0098201
                    112,                 1.2169,                0.64002,                 1.0564,                0.55903,                0.59772,                0.57635,                 0.3641,                 1.3094,                0.69056,                 1.1419,              0.0098185,              0.0098185,              0.0098185
