                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.1643,                0.60552,                 1.0015,                0.88844,                0.68239,                0.75263,                0.49618,                 1.1996,                0.60855,                 1.0331,               0.008878,               0.008878,               0.008878
                     37,                  1.188,                0.61235,                0.99367,                 0.5723,                0.55123,                0.58022,                0.37297,                 1.2235,                0.66699,                 1.0436,               0.008845,               0.008845,               0.008845
                     38,                    1.2,                0.61518,                0.99595,                0.73826,                0.78751,                0.72596,                0.46085,                 1.2317,                0.65844,                 1.0447,               0.008812,               0.008812,               0.008812
                     39,                 1.1898,                0.60354,                0.99992,                 0.6886,                0.64735,                0.65042,                0.41581,                  1.227,                0.63889,                 1.0342,               0.008779,               0.008779,               0.008779
                     40,                 1.1778,                 0.6077,                0.99704,                0.60398,                0.74756,                 0.6735,                0.35377,                   1.46,                0.68208,                 1.0938,               0.008746,               0.008746,               0.008746
                     41,                 1.1745,                0.60641,                0.99354,                 0.7875,                 0.7305,                0.75666,                 0.4975,                 1.1711,                0.67082,                  1.027,               0.008713,               0.008713,               0.008713
                     42,                 1.1633,                0.60185,                0.99209,                0.72788,                0.72875,                0.68438,                 0.4357,                 1.2366,                0.62328,                 1.0383,                0.00868,                0.00868,                0.00868
                     43,                 1.1838,                0.60612,                0.99166,                0.90284,                0.73915,                0.80868,                0.51214,                 1.1942,                0.61097,                 1.0358,               0.008647,               0.008647,               0.008647
                     44,                 1.1496,                0.58745,                0.98166,                 0.7311,                0.72538,                 0.7125,                0.48282,                 1.1967,                0.60482,                 1.0294,               0.008614,               0.008614,               0.008614
                     45,                 1.1668,                0.59358,                0.98097,                0.71922,                0.72775,                0.72821,                0.48527,                 1.1977,                0.60603,                  1.031,               0.008581,               0.008581,               0.008581
                     46,                 1.1531,                0.58923,                0.98837,                0.65538,                0.73288,                0.71151,                0.46418,                 1.2416,                0.61941,                  1.032,               0.008548,               0.008548,               0.008548
                     47,                 1.1295,                0.57962,                0.98225,                0.77223,                0.73168,                0.76127,                0.51508,                 1.1752,                0.59763,                   1.02,               0.008515,               0.008515,               0.008515
                     48,                 1.1541,                0.58855,                0.98572,                0.79487,                0.73027,                 0.7795,                0.48554,                 1.1807,                0.63183,                 1.0278,               0.008482,               0.008482,               0.008482
                     49,                 1.1466,                0.58227,                 0.9746,                0.78111,                0.62576,                 0.7349,                0.46859,                 1.2069,                0.65396,                 1.0373,               0.008449,               0.008449,               0.008449
                     50,                 1.1457,                0.57864,                0.98228,                0.92059,                0.61459,                0.76764,                0.50032,                 1.1638,                0.57178,                 1.0282,               0.008416,               0.008416,               0.008416
                     51,                 1.1271,                0.56799,                0.96807,                0.88475,                0.66055,                0.75799,                0.47734,                 1.2312,                0.60549,                 1.0467,               0.008383,               0.008383,               0.008383
                     52,                 1.1278,                0.56772,                0.97543,                0.79157,                0.63008,                0.70725,                 0.4543,                 1.1886,                0.60225,                 1.0291,                0.00835,                0.00835,                0.00835
                     53,                 1.1307,                0.56767,                0.96982,                0.83731,                0.71843,                 0.7903,                0.51735,                 1.1588,                0.57252,                 1.0238,               0.008317,               0.008317,               0.008317
                     54,                 1.1225,                0.56078,                0.97033,                 0.6658,                0.61772,                0.64312,                0.42025,                 1.1595,                0.59059,                 1.0231,               0.008284,               0.008284,               0.008284
                     55,                 1.1183,                0.56181,                0.97224,                0.73321,                0.62566,                0.72083,                0.47636,                 1.1472,                0.57646,                 1.0133,               0.008251,               0.008251,               0.008251
                     56,                 1.1271,                0.56159,                0.98315,                0.91268,                0.64826,                0.72091,                0.47503,                 1.1591,                0.61864,                 1.0199,               0.008218,               0.008218,               0.008218
                     57,                 1.1068,                0.56117,                0.97184,                0.62729,                0.81153,                0.73327,                0.46248,                 1.1728,                0.57534,                 1.0253,               0.008185,               0.008185,               0.008185
                     58,                 1.1144,                0.55119,                0.97299,                0.67688,                 0.7963,                0.71352,                0.42928,                 1.3176,                0.60322,                  1.056,               0.008152,               0.008152,               0.008152
                     59,                 1.1226,                0.56441,                0.97741,                0.92267,                0.76581,                0.82588,                 0.5392,                 1.1594,                0.57361,                 1.0176,               0.008119,               0.008119,               0.008119
                     60,                 1.1063,                 0.5536,                 0.9701,                0.79945,                0.66704,                0.73888,                0.49827,                 1.1491,                0.56987,                   1.01,               0.008086,               0.008086,               0.008086
                     61,                 1.1214,                  0.556,                 0.9703,                0.93319,                0.72951,                0.76545,                0.52238,                 1.1522,                0.58201,                  1.008,               0.008053,               0.008053,               0.008053
                     62,                 1.0972,                0.54378,                0.96673,                0.68189,                0.68706,                0.72832,                0.46558,                 1.2059,                0.59047,                 1.0275,                0.00802,                0.00802,                0.00802
                     63,                 1.0997,                0.55069,                0.96731,                0.77149,                0.60059,                0.69756,                0.45905,                 1.1836,                0.61327,                  1.029,               0.007987,               0.007987,               0.007987
                     64,                 1.1063,                0.54924,                0.96546,                 0.8979,                0.64324,                0.69819,                0.47473,                 1.1703,                0.59512,                 1.0198,               0.007954,               0.007954,               0.007954
                     65,                 1.0909,                 0.5417,                0.96518,                0.78346,                0.75929,                0.74468,                0.48626,                 1.1667,                 0.5775,                 1.0162,               0.007921,               0.007921,               0.007921
                     66,                 1.0929,                0.53876,                0.96153,                0.84215,                0.79554,                0.83118,                0.54469,                 1.2086,                0.56888,                 1.0237,               0.007888,               0.007888,               0.007888
                     67,                 1.0962,                0.53967,                0.96691,                0.76028,                0.69047,                0.73173,                0.48319,                 1.1758,                0.59178,                  1.019,               0.007855,               0.007855,               0.007855
                     68,                 1.0829,                 0.5377,                0.95678,                0.77132,                0.80064,                0.76702,                0.50166,                 1.1652,                0.56062,                 1.0159,               0.007822,               0.007822,               0.007822
                     69,                 1.0929,                0.53758,                0.95832,                0.77066,                0.82764,                0.77994,                0.51228,                 1.1604,                0.56083,                 1.0134,               0.007789,               0.007789,               0.007789
                     70,                 1.0899,                0.54203,                 0.9676,                0.78343,                0.78619,                 0.7548,                0.47834,                 1.1874,                0.58355,                 1.0262,               0.007756,               0.007756,               0.007756
                     71,                 1.0753,                0.53497,                0.95973,                0.75461,                0.79683,                0.75908,                0.48738,                 1.1863,                0.57056,                 1.0249,               0.007723,               0.007723,               0.007723
                     72,                  1.082,                0.53183,                0.95714,                0.78554,                0.66058,                0.71717,                0.45528,                 1.1999,                0.57572,                 1.0295,                0.00769,                0.00769,                0.00769
                     73,                 1.0774,                 0.5311,                0.95662,                0.75422,                0.83973,                0.79561,                0.46739,                 1.3127,                 0.5877,                 1.0614,               0.007657,               0.007657,               0.007657
